University,Top10,Accept,SFRatio,Expenses,Grad,SAT,,SAT
Harvard,91,14,11,39.525,97,1400,,14
Princeton,91,14,8,30.22,95,1375,,13.75
Yale,95,19,11,43.514,96,1375,,13.75
Stanford,90,20,12,36.45,93,1360,,13.6
MIT,94,30,10,34.87,91,1380,,13.8
Duke,90,30,12,31.585,95,1315,,13.15
Cal_Tech,100,25,6,63.575,81,1415,,14.15
Dartmouth,89,23,10,32.162,95,1340,,13.4
Brown,89,22,13,22.704,94,1310,,13.1
Johns_Hopkins,75,44,7,58.691,87,1305,,13.05
U_Chicago,75,50,13,38.38,87,1290,,12.9
U_Penn,80,36,11,27.553,90,1285,,12.85
Cornell,83,33,13,21.864,90,1280,,12.8
Northwestern,85,39,11,28.052,89,1260,,12.6
Columbia,76,24,12,31.51,88,1310,,13.1
NotreDame,81,42,13,15.122,94,1255,,12.55
U_Virginia,77,44,14,13.349,92,1225,,12.25
Georgetown,74,24,12,20.126,92,1255,,12.55
Carnegie_Mellon,62,59,9,25.026,72,1260,,12.6
U_Michigan,65,68,16,15.47,85,1180,,11.8
UC_Berkeley,95,40,17,15.14,78,1240,,12.4
U_Wisconsin,40,69,15,11.857,71,1085,,10.85
Penn_State,38,54,18,10.185,80,1081,,10.81

